SMILES,label_0,label_1,label_2,label_3,label_4
COC(=O)CC#N,0.29,1.34,0.0,0.64,0.7604
CCOC(=O)CC,0.09,0.58,0.0,0.45,0.8875
CSc1ccc2c(c1)N(CCC1CCCNC1)c1c(S2)cccc1,2.82,1.94,0.21,1.19,2.7608
CCC(=O)OC=C,0.22,0.53,0.0,0.46,0.8445
CC/C(=C(\c1ccccc1)/c1ccc(cc1)OCCN(C)C)/c1ccccc1,2.02,2.0,0.0,1.28,3.1747
CCOC(=O)NC,0.26,0.9,0.24,0.63,0.8464
CCC(CC(=O)C)C,0.11,0.67,0.0,0.55,1.1106
CC(CC)CC(=O)O,0.2,0.59,0.61,0.46,1.0284
CCOC(=O)C=CC,0.25,0.66,0.0,0.42,0.9854
COC(=O)CC(=O)C,0.25,0.7,0.0,0.89,0.9032
CCC(OC(=O)C)C,0.04,0.57,0.0,0.47,1.0284
CCOC(=O)CC(=O)OCC,0.11,0.9,0.0,0.81,1.2437
CCCC(=O)OCC,0.07,0.58,0.0,0.45,1.0284
CCOC(=O)CC#N,0.24,1.33,0.0,0.64,0.9013
CCOC(OCC)C,-0.02,0.56,0.0,0.62,1.0714
CCOC(=O)OCC,0.06,0.58,0.0,0.53,0.9462
OCCN(CCO)C,0.47,0.78,0.48,1.24,1.0303
O=C1CCCCCN1,0.59,1.72,0.38,0.75,0.9609
CCCOC(=O)CCC,0.05,0.56,0.0,0.45,1.1693
Cc1ccc(c(c1)C)O,0.84,0.8,0.53,0.39,1.0569
CCC(=O)OCCC(C)C,0.04,0.53,0.0,0.47,1.3102
CCc1cccc(c1)OC,0.72,0.8,0.0,0.3,1.1978
CCCC(=O)OCCOC(=O)CCC,0.13,0.79,0.0,0.92,1.6664
CCC(=C(C)C)C,0.14,0.1,0.0,0.12,1.0519
CCCCCC(=O)OCC(C)C,0.07,0.53,0.0,0.47,1.592
O=N(=O)NC1=NCCN1Cc1ccc(nc1)Cl,1.69,1.5,0.0,1.56,1.6833
CC(OC(=O)C(=C)C#N)C,0.35,0.87,0.0,0.63,1.1401
C/C(=C\COC(=O)C)/CCC=C(C)C,0.37,0.72,0.0,0.65,1.7878
CCCCC(=O)OCC(C)C,-0.03,0.54,0.0,0.47,1.4511
CN(N=O)CC,0.37,1.1,0.0,0.59,0.7466
CCCCOC(=O)CCCCC(=O)OCCCC,0.05,1.12,0.0,1.03,2.23
O=C1CCCCCCCCCCCCCCO1,0.26,1.35,0.0,0.58,2.1879
ICCc1ccccc1,1.34,0.96,0.0,0.24,1.2564
COC(=O)Nc1nc2c([nH]1)cccc2,2.0,1.45,0.45,1.0,1.3613
CCCOC(=O)CCCCC(=O)OCCC,0.06,1.13,0.0,1.02,1.9482
OCCC(CCC=C(C)C)C,0.35,0.47,0.35,0.62,1.5333
O=CCC(CCC=C(C)C)C,0.29,0.63,0.0,0.5,1.4903
OC/C=C(/CCC=C(C)C)\C,0.51,0.63,0.29,0.66,1.4903
S=C(N1CCC(CC1)c1c[nH]cn1)NC1CCCCC1,1.89,1.68,0.59,1.78,2.33
OC/C=C(\CCC=C(C)C)/C,0.5,0.61,0.27,0.66,1.4903
O=C/C=C(\CCC=C(C)C)/C,0.59,0.8,0.0,0.52,1.4473
Fc1ccc2c(c1)onc2C1CCN(CC1)CCc1c(C)nc2n(c1=O)CCCC2,2.59,2.67,0.0,2.2,3.0396
CCCC(=O)OCCC(C)C,0.02,0.53,0.0,0.47,1.4511
CCCCCCC(=O)OCC,0.03,0.58,0.0,0.45,1.4511
CCCCCCCC(=O)OCC,0.02,0.58,0.0,0.45,1.592
